Timestamp:      Type:

3010.929559: funcgraph_entry:                   |  __x64_sys_mmap() {
3010.929580: funcgraph_entry:                   |                            _cond_resched() {
3010.929580: funcgraph_entry:        0.112 us   |                              rcu_all_qs();
3010.929580: funcgraph_exit:         0.346 us   |                            }
3010.929581: funcgraph_exit:         0.572 us   |                          }
3010.929581: funcgraph_exit:         2.046 us   |                        }
3010.929581: funcgraph_entry:        0.113 us   |                        __mutex_init();
3010.929581: funcgraph_exit:         3.881 us   |                      }
3010.929581: funcgraph_exit:         4.106 us   |                    }
3010.929581: funcgraph_exit:         4.326 us   |                  }
3010.929581: funcgraph_exit:         8.443 us   |                }
3010.929582: funcgraph_exit:       + 16.751 us  |              }
3010.929582: funcgraph_exit:       + 16.985 us  |            }
3010.929582: funcgraph_entry:                   |            vma_link() {
3010.929582: funcgraph_entry:                   |              down_write() {
3010.929582: funcgraph_entry:                   |                _cond_resched() {
3010.929582: funcgraph_entry:        0.110 us   |                  rcu_all_qs();
3010.929582: funcgraph_exit:         0.349 us   |                }
3010.929582: funcgraph_exit:         0.574 us   |              }
3010.929583: funcgraph_entry:        0.114 us   |              __vma_link_list();
3010.929583: funcgraph_entry:        0.139 us   |              __vma_link_rb();
3010.929583: funcgraph_entry:                   |              __vma_link_file() {
3010.929583: funcgraph_entry:        0.113 us   |                vma_interval_tree_insert();
3010.929583: funcgraph_exit:         0.340 us   |              }
3010.929584: funcgraph_entry:        0.113 us   |              up_write();
3010.929584: funcgraph_exit:         1.988 us   |            }
3010.929584: funcgraph_entry:        0.113 us   |            uprobe_mmap();
3010.929584: funcgraph_entry:                   |            vma_set_page_prot() {
3010.929584: funcgraph_entry:        0.118 us   |              vma_wants_writenotify();
3010.929584: funcgraph_exit:         0.346 us   |            }
3010.929585: funcgraph_exit:       + 22.114 us  |          }
3010.929585: funcgraph_exit:       + 24.223 us  |        }
3010.929585: funcgraph_entry:        0.119 us   |        up_write();
3010.929585: funcgraph_entry:        0.121 us   |        userfaultfd_unmap_complete();
3010.929585: funcgraph_exit:       + 26.569 us  |      }
3010.929585: funcgraph_exit:       + 26.794 us  |    }
3010.929586: funcgraph_exit:       + 27.035 us  |  }
